sku,unit,description,pmu,db_nr,category
L673/16,pcs,,31.3700,198,1
L673/16N,pcs,,32.1066,304,1
L673/16NB,pcs,,33.0563,398,1
L673/20,pcs,,33.3634,345,1
L673/20N,pcs,,33.7981,301,1
L673/25,pcs,,33.4899,335,1
L673/25N,pcs,,34.0873,302,1
L673/32,pcs,,35.5442,334,1
L673/32N,pcs,,36.0610,303,1
L673/32NB,pcs,,37.8052,397,1
L673/40N,pcs,,43.2324,431,1
L673/6,pcs,,27.7862,433,1
L673/63N,pcs,,45.6366,401,1
L673/6N,pcs,,28.5618,417,1
L673B/10,pcs,,29.4323,336,1
L673B/10N,pcs,,29.8075,309,1
L673B/6,pcs,,29.6784,453,1
L680,pcs,,20.4070,403,1
L681/10N,pcs,,31.5250,393,1
L681/16N,pcs,,32.1000,359,1
L681B/10N,pcs,,29.2193,447,1
L682/20N,pcs,,33.6056,449,1
L688,pcs,,1.6113,425,1
L690,pcs,,1.1549,467,1
L692,pcs,,2.0764,446,1
L701C/20,pcs,,5.3784,379,2
L701C/50,pcs,,6.3901,256,2
L701C/63,pcs,,7.7700,260,2
L701M/20,pcs,,9.9507,270,2
L701M/50,pcs,,10.5833,267,2
L701M/63,pcs,,11.6488,265,2
L702C/20,pcs,,6.5648,258,2
L702C/50,pcs,,8.2732,257,2
L702C/63,pcs,,10.2376,259,2
L702M/20,pcs,,10.8672,269,2
L702M/50,pcs,,12.0933,266,2
L702M/63,pcs,,13.3845,263,2
L703C/20,pcs,,7.0181,230,2
L703C/50,pcs,,8.9603,231,2
L703C/63,pcs,,11.2201,232,2
L703M/20,pcs,,11.6137,268,2
L703M/50,pcs,,13.2028,261,2
L703M/63,pcs,,15.0232,264,2
L704C/20,pcs,,7.3406,233,2
L704C/50,pcs,,9.4469,234,2
L704C/63,pcs,,11.8643,235,2
L704M/20,pcs,,11.7892,228,2
L704M/50,pcs,,13.5158,262,2
L704M/63,pcs,,15.5915,229,2
L801M/63,pcs,,10.9899,242,2
L801M/63NG,pcs,,11.6366,347,2
L802C/40,pcs,,5.0710,226,2
L802C/63,pcs,,6.0034,227,2
L802M/40,pcs,,10.2553,239,2
L802M/40N,pcs,,10.8085,240,2
L802M/40NB,pcs,,10.9283,440,2
L802M/63,pcs,,11.1216,247,2
L802M/63N,pcs,,11.7726,241,2
L803CA/40,pcs,,5.6579,252,2
L803CA/40G,pcs,,5.9113,330,2
L803CA/63,pcs,,6.8417,279,2
L803CA/63G,pcs,,7.7563,443,2
L803M/40,pcs,,11.1653,245,2
L803M/40G,pcs,,11.3099,381,2
L803M/40N,pcs,,11.7620,250,2
L803M/40NG,pcs,,11.9102,324,2
L803M/63,pcs,,12.0462,246,2
L803M/63G,pcs,,12.2104,352,2
L803M/63N,pcs,,12.7075,251,2
